y__abs_energy,y__quantile__q_0.9,y__quantile__q_0.8,y__quantile__q_0.7,y__quantile__q_0.6,y__quantile__q_0.4,y__quantile__q_0.3,y__quantile__q_0.2,y__quantile__q_0.1,y__sum_values,y__minimum,y__mean,y__maximum,"y__fft_coefficient__coeff_0__attr_""real""","y__fft_coefficient__coeff_0__attr_""abs""","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_5","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_20","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_2","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10",y__median,y__range_count__max_1__min_-1,y
65.61,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,3.1418244625935965,1.5709122312967982,4.967660655115128,2.2216053827977125,8.1,0.0,7.54
56.8516,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,2.9246119071550267,1.4623059535775136,4.6242174493293895,2.0680129118882413,7.54,0.0,7.84
61.4656,7.84,7.84,7.84,7.84,7.84,7.84,7.84,7.84,7.84,7.84,7.84,7.84,7.84,7.84,3.0409757761399754,1.5204878880699877,4.8082048810003215,2.150294592732601,7.84,0.0,7.88
62.0944,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,3.0564909586713016,1.5282454793356508,4.832736538556445,2.161265483511849,7.88,0.0,8.0
64.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.1030365062652807,1.5515182531326404,4.906331511224818,2.1941781558495927,8.0,0.0,6.42
41.2164,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,2.490186796277888,1.2450933981389438,3.937331037757916,1.760827970069298,6.42,0.0,5.59
31.2481,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,5.59,2.168246758752865,1.0841233793764324,3.428299143468341,1.533181986399903,5.59,0.0,5.74
32.9476,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,2.2264286932453388,1.1132143466226696,3.5202928593038068,1.5743228268220828,5.74,0.0,5.49
30.140100000000004,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,2.129458802424549,1.0647294012122746,3.366969999578032,1.5057547594517833,5.49,0.0,5.72
32.718399999999995,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,2.2186711019796754,1.1093355509898375,3.5080270305257444,1.5688373814324588,5.72,0.0,6.06
